YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,AOD,Timestamp,PM2.5
2019,1,1,0,6.04,57.48,0.0,99.41,3.16,323.9,0.511146605,2019-01-01 00:00:00,275.5
2019,1,1,1,5.6,58.19,0.0,99.38,3.06,323.0,0.516815305,2019-01-01 01:00:00,268.75
2019,1,1,2,5.29,58.18,0.0,99.34,2.96,319.8,0.528734326,2019-01-01 02:00:00,261.75
2019,1,1,3,5.04,57.9,0.0,99.29,2.89,314.7,0.543811798,2019-01-01 03:00:00,260.25
2019,1,1,4,4.75,57.95,0.0,99.26,2.86,309.2,0.553359568,2019-01-01 04:00:00,262.5
2019,1,1,5,4.38,58.53,0.0,99.27,2.89,305.3,0.559668422,2019-01-01 05:00:00,279.75
2019,1,1,6,3.97,59.69,0.0,99.34,2.94,303.2,0.835301042,2019-01-01 06:00:00,297.25
2019,1,1,7,5.63,57.4,0.0,99.43,2.56,303.2,0.859439254,2019-01-01 07:00:00,319.75
2019,1,1,8,9.01,44.88,0.0,99.5,3.18,303.4,0.890022099,2019-01-01 08:00:00,368.75
2019,1,1,9,11.56,39.73,0.0,99.54,2.14,298.1,0.643352032,2019-01-01 09:00:00,474.25
2019,1,1,10,15.51,31.87,0.0,99.48,2.07,296.7,0.66629827,2019-01-01 10:00:00,421.75
2019,1,1,11,18.92,23.84,0.0,99.37,3.2,304.8,0.665053904,2019-01-01 11:00:00,322.75
2019,1,1,12,19.43,23.42,0.0,99.29,3.21,300.3,0.643419027,2019-01-01 12:00:00,283.0
2019,1,1,13,19.42,23.85,0.0,99.25,3.26,297.0,0.637573838,2019-01-01 13:00:00,253.0
2019,1,1,14,19.13,25.06,0.0,99.21,3.03,297.3,0.628435731,2019-01-01 14:00:00,212.0
2019,1,1,15,17.18,40.96,0.0,99.22,1.86,301.8,0.615117967,2019-01-01 15:00:00,187.25
2019,1,1,16,14.91,43.15,0.0,99.24,2.03,310.6,0.613631904,2019-01-01 16:00:00,154.0
2019,1,1,17,13.92,39.74,0.0,99.28,2.01,320.0,0.630234718,2019-01-01 17:00:00,143.5
2019,1,1,18,13.33,38.92,0.0,99.32,1.92,330.6,0.689304411,2019-01-01 18:00:00,169.75
2019,1,1,19,12.82,39.28,0.0,99.33,1.84,350.6,0.732969642,2019-01-01 19:00:00,249.5
2019,1,1,20,12.15,40.82,0.0,99.32,1.89,8.8,0.748272836,2019-01-01 20:00:00,379.0
2019,1,1,21,11.7,41.7,0.0,99.31,1.83,19.8,0.766661644,2019-01-01 21:00:00,566.75
2019,1,1,22,11.09,43.29,0.0,99.28,1.91,36.3,0.76726377,2019-01-01 22:00:00,343.75
2019,1,1,23,10.69,44.82,0.0,99.26,1.89,49.1,0.728858709,2019-01-01 23:00:00,317.25
2019,1,2,0,11.03,45.02,0.0,99.27,1.53,64.9,0.683208823,2019-01-02 00:00:00,348.5
2019,1,2,1,10.91,46.12,0.0,99.27,1.28,93.6,0.659693897,2019-01-02 01:00:00,372.0
2019,1,2,2,10.72,46.69,0.0,99.25,1.27,112.7,0.635722876,2019-01-02 02:00:00,430.75
2019,1,2,3,10.42,47.62,0.0,99.22,1.21,124.6,0.618348897,2019-01-02 03:00:00,402.75
2019,1,2,4,10.03,48.89,0.0,99.23,1.23,127.4,0.606781721,2019-01-02 04:00:00,375.25
2019,1,2,5,9.86,49.47,0.0,99.27,1.08,114.0,0.603829682,2019-01-02 05:00:00,349.75
2019,1,2,6,9.91,48.69,0.0,99.35,1.02,92.8,0.845607758,2019-01-02 06:00:00,356.5
2019,1,2,7,9.67,53.77,0.0,99.45,1.18,87.6,0.84883678,2019-01-02 07:00:00,381.25
2019,1,2,8,11.77,47.71,0.0,99.54,1.62,97.1,0.862142801,2019-01-02 08:00:00,440.5
2019,1,2,9,14.07,42.25,0.0,99.59,1.48,108.6,1.10631728,2019-01-02 09:00:00,502.5
2019,1,2,10,17.88,31.32,0.0,99.54,1.32,131.6,1.10000336,2019-01-02 10:00:00,440.75
2019,1,2,11,20.77,23.8,0.0,99.44,0.99,157.3,1.0696578,2019-01-02 11:00:00,372.75
2019,1,2,12,21.78,22.16,0.0,99.33,0.84,181.4,1.03193557,2019-01-02 12:00:00,313.5
2019,1,2,13,22.07,21.94,0.0,99.26,0.91,211.9,0.999837697,2019-01-02 13:00:00,243.5
2019,1,2,14,21.59,23.57,0.0,99.23,1.13,237.3,0.973075628,2019-01-02 14:00:00,209.25
2019,1,2,15,19.94,36.1,0.0,99.24,1.0,257.9,0.947133958,2019-01-02 15:00:00,209.75
