latitude,longitude,WD10M,WS10M,PS,RH2M,T2M,blh,AOD,YEAR,MO,DY,HR
22,77.5,262.8,3.33,94.85,16.75,33.94,1132.319632,0.41816,2025,5,1,1
22,78.75,167.9,3.45,93.63,33.12,31.87,1020.652971,0.40605468,2025,5,1,1
22,80,167.5,4.38,95.49,41.57,31.5,724.6738125,0.45256346,2025,5,1,1
22,81.25,171.4,2.89,95.97,49.58,30.07,529.9758943,0.45991313,2025,5,1,1
22,82.5,149.9,2.85,97.67,48.59,30.78,719.8404656,0.4057597,2025,5,1,1
22.5,73.75,267.8,4.62,98.99,29.66,34.73,596.4133825,0.3362966,2025,5,1,1
22.5,75,286.9,5.54,96.63,23.07,34.32,962.44463,0.3529083,2025,5,1,1
22.5,76.25,301,5.02,96.52,15.15,35.89,1285.663438,0.43665364,2025,5,1,1
22.5,77.5,244.9,2.95,96.19,16.14,35.1,543.1112987,0.42038268,2025,5,1,1
22.5,78.75,177.4,3.75,93.52,29.08,32.08,1250.642556,0.367216,2025,5,1,1
22.5,80,175.9,4.52,95.05,38.78,31.71,813.09048,0.43053997,2025,5,1,1
22.5,81.25,174.7,3.2,93.67,49.06,28.62,558.2467303,0.44763488,2025,5,1,1
22.5,82.5,158.9,2.97,96.44,46.9,29.94,731.8717212,0.4065277,2025,5,1,1
23,73.75,273.4,4.66,98.77,22.61,34.69,495.0592161,0.35809124,2025,5,1,1
23,75,282.7,5.46,95.59,19.54,33.78,863.5592083,0.36741942,2025,5,1,1
23,76.25,299.9,5.09,94.99,14.73,34.73,1460.871768,0.42325643,2025,5,1,1
23,77.5,210.8,2.93,95.77,16.75,34.4,960.767549,0.39403585,2025,5,1,1
23,78.75,174.4,3.32,96.24,24.14,34.29,1113.184223,0.36346233,2025,5,1,1
23,80,181.1,4,95.28,35.2,32.2,1054.882139,0.40169576,2025,5,1,1
23,81.25,183.6,3.96,92.97,45.94,28.64,689.1008975,0.42715758,2025,5,1,1
23,82.5,172.9,3.47,95.37,44.63,29.36,807.8717228,0.39730632,2025,5,1,1
23.5,73.75,277.1,4.71,98.28,16.6,34.77,530.6737986,0.38739827,2025,5,1,1
23.5,75,275.5,5.17,95.72,15.74,34.12,1102.715457,0.41124776,2025,5,1,1
23.5,76.25,295.6,4.69,95.46,14.23,34.98,1341.100933,0.4363739,2025,5,1,1
23.5,77.5,110.4,2.92,95.28,18.3,33.88,1093.309215,0.37169698,2025,5,1,1
23.5,78.75,132,2.94,95.31,23.93,33.2,1402.465498,0.35475463,2025,5,1,1
23.5,80,187.7,3.32,95.85,32.08,32.58,1126.007139,0.3899007,2025,5,1,1
23.5,81.25,187.4,4.07,95.37,38.02,31.31,780.55923,0.41380614,2025,5,1,1
23.5,82.5,183.9,4.05,94.06,41.45,28.93,677.2675644,0.39336446,2025,5,1,1
24,73.75,278.2,5.06,96.63,15.21,34.15,758.14254,0.42713726,2025,5,1,1
24,75,273.9,4.63,95.7,14.63,34.56,1250.330078,0.46432292,2025,5,1,1
24,76.25,298.4,3.08,95.95,15.05,35.15,1219.173848,0.4400716,2025,5,1,1
24,77.5,101.5,3.06,95.25,18.95,33.88,1171.434215,0.36845702,2025,5,1,1
24,78.75,74.3,2.93,95.45,23.47,33.22,1274.184216,0.36109212,2025,5,1,1
24,80,206.4,2.98,96.21,30.39,32.59,1066.163388,0.39435118,2025,5,1,1
24,81.25,186.7,3.45,96.38,33.81,32.3,1114.632138,0.4159373,2025,5,1,1
24,82.5,184.3,3.77,96.06,34.16,31.51,1028.684222,0.423526,2025,5,1,1
24.5,73.75,271.8,5.43,94.48,15.2,33.16,1121.965482,0.47213033,2025,5,1,1
24.5,75,283,4.26,95.5,15.63,34.95,1414.871763,0.49531353,2025,5,1,1
24.5,76.25,74.9,2.24,96.61,16.53,35.17,1143.850931,0.43679607,2025,5,1,1
24.5,77.5,91.6,3.54,95.17,22.04,33.47,1318.569657,0.3786855,2025,5,1,1
24.5,78.75,54.4,3.04,96.29,26.03,33.2,908.277965,0.39077047,2025,5,1,1
24.5,80,43.5,2.8,96.59,29.45,32.71,932.6529698,0.43924254,2025,5,1,1
24.5,81.25,168.8,2.86,96.96,30.84,32.71,1129.652969,0.4431539,2025,5,1,1
24.5,82.5,160.5,2.73,97.3,30.74,32.68,1039.34047,0.4890981,2025,5,1,1
25,73.75,264.7,5.53,93.88,15.7,32.82,1045.892586,0.49786174,2025,5,1,1
25,75,290.4,3.42,95.67,14.67,35.35,1078.965515,0.50033873,2025,5,1,1
25,76.25,106.9,3.08,97.25,18.09,35.12,1119.038406,0.44875386,2025,5,1,1
25,77.5,88.8,4.05,95.69,24.81,33.38,1169.350882,0.39476317,2025,5,1,1
25,78.75,66.9,3.39,97.26,28.29,32.88,848.1112983,0.44365743,2025,5,1,1
25,80,61.3,3.03,97.99,28.75,33.32,938.121715,0.5215993,2025,5,1,1
25,81.25,100.7,3.13,98.11,30.26,33.33,1022.46547,0.52576494,2025,5,1,1
25,82.5,104.7,3.35,98.83,31.18,33.51,903.5592292,0.6052073,2025,5,1,1
25.5,73.75,257.5,5.27,95.55,16.25,33.99,825.132132,0.51729125,2025,5,1,1
25.5,75,284.5,1.87,96.21,15.11,35.74,1039.340515,0.5167877,2025,5,1,1
25.5,76.25,107.7,3.45,97.75,20.64,35.09,1008.371739,0.4606201,2025,5,1,1
25.5,77.5,90.7,4.41,96.08,26.34,33.01,963.0592142,0.4239024,2025,5,1,1
25.5,78.75,77.2,3.69,98.15,29.07,33.1,897.5071308,0.53960466,2025,5,1,1
25.5,80,75.5,3.89,98.99,30.31,33.48,991.121725,0.60519713,2025,5,1,1
25.5,81.25,86.2,4.38,99.46,31.36,33.69,991.1529758,0.65843505,2025,5,1,1
25.5,82.5,86,4.21,99.78,33.64,33.22,777.6217217,0.7252482,2025,5,1,1
26,73.75,250.7,4.74,96.97,17.14,35.05,515.0904651,0.5492279,2025,5,1,1
26,75,159.9,1.36,96.31,17.59,34.97,1151.788432,0.537148,2025,5,1,1
26,76.25,101.2,4.02,97.52,23.07,34.63,792.8717142,0.46518248,2025,5,1,1
26,77.5,94.9,4.55,97.1,27.7,33.05,912.402965,0.48751628,2025,5,1,1
26,78.75,88,3.91,98.67,30.21,32.97,983.51755,0.6199727,2025,5,1,1
26,80,83.3,4.48,99.29,32.36,33.04,946.4863117,0.68239135,2025,5,1,1
26,81.25,88.2,4.96,99.49,33.65,32.88,857.4550675,0.77491045,2025,5,1,1
26,82.5,90.4,4.91,99.81,35.37,32.56,874.4550592,0.8378682,2025,5,1,1
26.5,73.75,235.7,3.72,97.04,17.71,35.25,547.9446308,0.60629576,2025,5,1,1
